Listening to port 4567
Connected!!!
0.7598,0.7598,0
0.7598,1.5196,0
0.7598,2.2794,0
0.7598,3.0392,0
0.7598,3.799,0
0.7598,4.5588,0
0.7598,5.3186,0
0.7598,6.0784,0
0.7598,6.8382,0
0.7598,7.598,0
0.7598,8.3578,0
0.7598,9.1176,0
0.7598,9.8774,0
0.7598,10.6372,0
0.7598,11.397,0
0.7598,12.1568,0
0.7598,12.9166,0
0.7598,13.6764,0
0.7599,14.4363,0.0001
0.7599,15.1962,0
0.7598,15.956,-0.0001
0.7597,16.7157,-0.0001
0.7597,17.4754,0
0.7597,18.2351,0
0.7596,18.9947,-0.0001
0.7596,19.7543,0
0.7595,20.5138,-0.0001
0.7594,21.2732,-0.0001
0.7594,22.0326,0
0.7593,22.7919,-0.0001
0.7592,23.5511,-0.0001
0.7591,24.3102,-0.0001
0.759,25.0692,-0.0001
0.759,25.8282,0
0.7588,26.587,-0.0002
0.7587,27.3457,-0.0001
0.7586,28.1043,-0.0001
0.7584,28.8627,-0.0002
0.7584,29.6211,0
0.7583,30.3794,-0.0001
0.7581,31.1375,-0.0002
0.7579,31.8954,-0.0002
0.7578,32.6532,-0.0001
0.7578,33.411,0
0.7576,34.1686,-0.0002
0.7574,34.926,-0.0002
0.7571,35.6831,-0.0003
0.7569,36.44,-0.0002
0.7567,37.1967,-0.0002
0.7567,37.9534,0
0.7565,38.7099,-0.0002
0.7562,39.4661,-0.0003
0.756,40.2221,-0.0002
0.7557,40.9778,-0.0003
0.7554,41.7332,-0.0003
0.7554,42.4886,0
0.7552,43.2438,-0.0002
0.7549,43.9987,-0.0003
0.7546,44.7533,-0.0003
0.7543,45.5076,-0.0003
0.7543,46.2619,0
0.7539,47.0158,-0.0004
0.7536,47.7694,-0.0003
0.7532,48.5226,-0.0004
0.7529,49.2755,-0.0003
0.7525,50.028,-0.0004
0.7525,50.7805,0
0.7522,51.5327,-0.0003
0.7518,52.2845,-0.0004
0.7513,53.0358,-0.0005
0.7509,53.7867,-0.0004
0.7505,54.5372,-0.0004
0.7505,55.2877,0
0.75,56.0377,-0.0005
0.7495,56.7872,-0.0005
0.7491,57.5363,-0.0004
0.7486,58.2849,-0.0005
0.7481,59.033,-0.0005
0.7475,59.7805,-0.0006
0.747,60.5275,-0.0005
0.747,61.2745,0
0.7464,62.0209,-0.0006
0.7458,62.7667,-0.0006
0.7452,63.5119,-0.0006
0.7446,64.2565,-0.0006
0.744,65.0005,-0.0006
0.744,65.7445,0
0.7433,66.4878,-0.0007
0.7426,67.2304,-0.0007
0.7419,67.9723,-0.0007
0.7412,68.7135,-0.0007
0.7404,69.4539,-0.0008
0.7404,70.1943,0
0.7397,70.934,-0.0007
0.7388,71.6728,-0.0009
0.738,72.4108,-0.0008
0.7371,73.1479,-0.0009
0.7362,73.8841,-0.0009
0.7353,74.6194,-0.0009
0.7353,75.3547,0
0.7344,76.0891,-0.0009
0.7335,76.8226,-0.0009
0.7325,77.5551,-0.001
0.7314,78.2865,-0.0011
0.7304,79.0169,-0.001
